Timestamp,What's your level of interest for the following areas of Data Science? [Data Visualization],What's your level of interest for the following areas of Data Science? [Machine Learning],What's your level of interest for the following areas of Data Science? [Data Analysis / Statistics],What's your level of interest for the following areas of Data Science? [Big Data (Spark / Hadoop)],What's your level of interest for the following areas of Data Science? [Data Journalism],What's your level of interest for the following areas of Data Science? [Deep Learning]
2017/10/19 2:35:12 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Not interested
2017/10/19 2:35:52 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 2:37:02 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 2:37:43 AM MDT,,,,Very interested,,
2017/10/19 2:37:57 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 2:39:36 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,Not interested
2017/10/19 2:42:20 AM MDT,Not interested,Not interested,Not interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 2:44:07 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/19 2:44:15 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 2:44:25 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Not interested,Very interested
2017/10/19 2:46:24 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 2:48:53 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 2:49:47 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 2:50:40 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:51:29 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 2:53:10 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:58:36 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 2:58:53 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:59:03 AM MDT,,,Very interested,Very interested,,
2017/10/19 2:59:53 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 3:00:10 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 3:00:25 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 3:01:06 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 3:01:22 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/19 3:01:38 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 3:01:39 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 3:02:30 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 3:03:39 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 3:03:47 AM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 3:06:22 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 3:08:36 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 3:08:46 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 3:09:24 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 3:09:26 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Very interested,Very interested
2017/10/19 3:09:48 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 3:09:53 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 3:10:20 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 3:11:18 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,
2017/10/19 3:11:42 AM MDT,Very interested,Somewhat interested,Somewhat interested,Not interested,Not interested,Somewhat interested
2017/10/19 3:14:15 AM MDT,Very interested,Very interested,,Somewhat interested,Not interested,Somewhat interested
2017/10/19 3:16:16 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 3:17:20 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/19 3:18:04 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 3:19:30 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 3:20:25 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 3:21:35 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 3:23:47 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 3:25:50 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 3:27:31 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 3:27:57 AM MDT,Very interested,Very interested,Very interested,Very interested,,Very interested
2017/10/19 3:30:38 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 3:31:01 AM MDT,Somewhat interested,,Somewhat interested,Not interested,Not interested,Somewhat interested
2017/10/19 3:32:03 AM MDT,Not interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/19 3:35:36 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 3:39:05 AM MDT,Very interested,Very interested,Somewhat interested,Not interested,Not interested,Very interested
2017/10/19 3:41:45 AM MDT,Somewhat interested,Not interested,Somewhat interested,Somewhat interested,Not interested,Not interested
2017/10/19 3:43:47 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 3:44:29 AM MDT,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 3:44:51 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 3:49:36 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 3:51:23 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 3:52:29 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 3:53:38 AM MDT,Not interested,Very interested,Somewhat interested,Not interested,Not interested,Somewhat interested
2017/10/19 3:57:21 AM MDT,Very interested,,Very interested,Very interested,,
2017/10/19 4:01:27 AM MDT,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 4:03:37 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 4:05:14 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 4:05:41 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 4:07:15 AM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 4:12:36 AM MDT,Very interested,Very interested,Very interested,Very interested,,Not interested
2017/10/19 4:17:40 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 4:19:18 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 4:20:09 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 4:21:48 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 4:21:50 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 4:21:50 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 4:22:06 AM MDT,Not interested,Not interested,Not interested,Somewhat interested,Not interested,Not interested
2017/10/19 4:24:16 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 4:24:45 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 4:28:55 AM MDT,Somewhat interested,Not interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 4:30:25 AM MDT,Very interested,Very interested,Not interested,Somewhat interested,Very interested,
2017/10/19 4:31:33 AM MDT,Very interested,Very interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/19 4:32:17 AM MDT,Very interested,Not interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 4:32:21 AM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 4:33:44 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 4:34:29 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 4:38:06 AM MDT,,Very interested,Very interested,Very interested,,
2017/10/19 4:38:07 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 4:38:58 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 4:40:57 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 4:43:31 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 4:44:29 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 4:46:53 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 4:51:03 AM MDT,,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 4:51:07 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 4:52:11 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 4:53:19 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 4:54:25 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Not interested
2017/10/19 4:57:26 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 4:59:38 AM MDT,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested
